Gene description	Synonyms
Adiponectin receptor 2	Adiponectin receptor-2; ADIPOR-2; ADIPOR2
Adiponectin, C1Q and collagen domain containing	ADIPOQ
ADNP homeobox 2	ADNP homeobox-2; ADNP-2; ADNP2
ADP dependent glucokinase	ADPGK
ADP ribosylation factor 1	ARF-1; ARF1
ADP ribosylation factor 3	ARF-3; ARF3
ADP ribosylation factor 4	ARF-4; ARF4
ADP ribosylation factor 5	ARF-5; ARF5
ADP ribosylation factor 6	ARF-6; ARF6
ADP ribosylation factor GTPase activating protein 1	ARFGAP-1; ARFGAP1
ADP ribosylation factor GTPase activating protein 2	ARFGAP-2; ARFGAP2
ADP ribosylation factor GTPase activating protein 3	ARFGAP-3; ARFGAP3
ADP ribosylation factor guanine nucleotide exchange factor 1	ARFGEF-1; ARFGEF1
ADP ribosylation factor guanine nucleotide exchange factor 2	ARFGEF-2; ARFGEF2
ADP ribosylation factor interacting protein 1	ARFIP-1; ARFIP1
ADP ribosylation factor interacting protein 2	ARFIP-2; ARFIP2
ADP ribosylation factor like GTPase 1	ARL-1; ARL1
ADP ribosylation factor like GTPase 11	ARL-11; ARL11
ADP ribosylation factor like GTPase 13B	ARL13B
ADP ribosylation factor like GTPase 14	ARL-14; ARL14
ADP ribosylation factor like GTPase 14 effector protein	ARL14EP
ADP ribosylation factor like GTPase 15	ARL-15; ARL15
ADP ribosylation factor like GTPase 2	ARL-2; ARL2
ADP ribosylation factor like GTPase 2 binding protein	ARL2BP
ADP ribosylation factor like GTPase 3	ARL-3; ARL3
ADP ribosylation factor like GTPase 4A	ARL4A
ADP ribosylation factor like GTPase 4C	ARL4C
ADP ribosylation factor like GTPase 4D	ARL4D
ADP ribosylation factor like GTPase 5A	ARL5A
ADP ribosylation factor like GTPase 5B	ARL5B
ADP ribosylation factor like GTPase 6	ARL-6; ARL6
ADP ribosylation factor like GTPase 6 interacting protein 1	ARL6IP1
ADP ribosylation factor like GTPase 6 interacting protein 4	ARL6IP4
ADP ribosylation factor like GTPase 6 interacting protein 5	ARL6IP5
ADP ribosylation factor like GTPase 6 interacting protein 6	ARL6IP6
ADP ribosylation factor like GTPase 8A	ARL8A
ADP ribosylation factor like GTPase 8B	ARL8B
ADP ribosylation factor related protein 1	ARFRP-1; ARFRP1
ADP-ribose/CDP-alcohol diphosphatase, manganese dependent	ADPRM
ADP-ribosylarginine hydrolase	ADPRH
ADP-ribosylserine hydrolase	ADPRS
ADP-ribosyltransferase 3 (inactive)	ART-3; ART3
Adrenoceptor alpha 1A	ADRA1A
Adrenoceptor alpha 1B	ADRA1B
Adrenoceptor alpha 1D	ADRA1D
Adrenoceptor alpha 2A	ADRA2A
Adrenoceptor alpha 2B	ADRA2B
Adrenoceptor alpha 2C	ADRA2C
Adrenoceptor beta 1	ADRB-1; ADRB1; Adrenoceptor beta-1
Adrenoceptor beta 2	ADRB-2; ADRB2; Adrenoceptor beta-2
Adrenoceptor beta 3	ADRB-3; ADRB3; Adrenoceptor beta-3
Adrenomedullin	ADM
Adrenomedullin 2	ADM-2; ADM2; Adrenomedullin-2
ADRM1 26S proteasome ubiquitin receptor	ADRM-1; ADRM1
Advanced glycosylation end-product specific receptor	AGER
Advillin	AVIL
AE binding protein 1	AEBP-1; AEBP1
AE binding protein 2	AEBP-2; AEBP2
Afadin, adherens junction formation factor	AFDN
Afamin	AFM
AFG1 like ATPase	AFG1L
AFG3 like matrix AAA peptidase subunit 2	AFG3L2
Aftiphilin	AFTPH
AGBL carboxypeptidase 1	AGBL carboxypeptidase-1; AGBL-1; AGBL1
AGBL carboxypeptidase 2	AGBL carboxypeptidase-2; AGBL-2; AGBL2
AGBL carboxypeptidase 5	AGBL carboxypeptidase-5; AGBL-5; AGBL5
Age-related maculopathy susceptibility 2	ARMS-2; ARMS2
Aggrecan	ACAN
Agmatinase	AGMAT
Agouti related neuropeptide	AGRP
Agouti signaling protein	ASIP
Agrin	AGRN
AHNAK nucleoprotein	AHNAK
AHNAK nucleoprotein 2	AHNAK nucleoprotein-2; AHNAK-2; AHNAK2
Ajuba LIM protein	AJUBA
Akirin 1	Akirin-1; AKIRIN-1; AKIRIN1
Akirin 2	AKIRIN-2; Akirin-2; AKIRIN2
AKNA domain containing 1	AKNAD-1; AKNAD1
AKT interacting protein	AKTIP
AKT serine/threonine kinase 1	AKT-1; AKT1
AKT serine/threonine kinase 2	AKT-2; AKT2
AKT serine/threonine kinase 3	AKT-3; AKT3
AKT1 substrate 1	AKT1 substrate-1; AKT1S1
Aladin WD repeat nucleoporin	AAAS
Alanine and arginine rich domain containing protein	AARD
Alanine--glyoxylate aminotransferase	AGXT
Alanine--glyoxylate aminotransferase 2	AGXT-2; AGXT2; Alanine--glyoxylate aminotransferase-2
Alanyl aminopeptidase, membrane	ANPEP
Alanyl-tRNA synthetase 1	AARS-1; AARS1; Alanyl-tRNA synthetase-1
Alanyl-tRNA synthetase 2, mitochondrial	AARS-2; AARS2
Alanyl-tRNA synthetase domain containing 1	AARSD-1; AARSD1
Albumin	ALB
Alcohol dehydrogenase 1A (class I), alpha polypeptide	ADH1A
Alcohol dehydrogenase 1B (class I), beta polypeptide	ADH1B
Alcohol dehydrogenase 1C (class I), gamma polypeptide	ADH1C
Alcohol dehydrogenase 4 (class II), pi polypeptide	ADH-4; ADH4
Alcohol dehydrogenase 5 (class III), chi polypeptide	ADH-5; ADH5
Alcohol dehydrogenase 6 (class V)	ADH-6; ADH6
Alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide	ADH-7; ADH7
Alcohol dehydrogenase iron containing 1	ADHFE-1; ADHFE1
Aldehyde dehydrogenase 1 family member A1	ALDH1A1
Aldehyde dehydrogenase 1 family member A2	ALDH1A2
Aldehyde dehydrogenase 1 family member A3	ALDH1A3
Aldehyde dehydrogenase 1 family member B1	ALDH1B1
Aldehyde dehydrogenase 1 family member L1	ALDH1L1
Aldehyde dehydrogenase 1 family member L2	ALDH1L2
Aldehyde dehydrogenase 16 family member A1	ALDH16A1
Aldehyde dehydrogenase 18 family member A1	ALDH18A1
Aldehyde dehydrogenase 2 family member	ALDH-2; ALDH2
Aldehyde dehydrogenase 3 family member A1	ALDH3A1
Aldehyde dehydrogenase 3 family member A2	ALDH3A2
Aldehyde dehydrogenase 3 family member B1	ALDH3B1
Aldehyde dehydrogenase 4 family member A1	ALDH4A1
Aldehyde dehydrogenase 5 family member A1	ALDH5A1
Aldehyde dehydrogenase 6 family member A1	ALDH6A1
Aldehyde dehydrogenase 7 family member A1	ALDH7A1
Aldehyde dehydrogenase 8 family member A1	ALDH8A1
Aldehyde dehydrogenase 9 family member A1	ALDH9A1
Aldehyde oxidase 1	Aldehyde oxidase-1; AOX-1; AOX1
Aldo-keto reductase family 1 member A1	AKR1A1
Aldo-keto reductase family 1 member B	AKR1B1
Aldo-keto reductase family 1 member B10	AKR1B10
Aldo-keto reductase family 1 member B15	AKR1B15
Aldo-keto reductase family 1 member C1	AKR1C1
Aldo-keto reductase family 1 member C2	AKR1C2
Aldo-keto reductase family 1 member C3	AKR1C3
Aldo-keto reductase family 1 member C4	AKR1C4
Aldo-keto reductase family 1 member D1	AKR1D1
Aldo-keto reductase family 1 member E2	AKR1E2
Aldo-keto reductase family 7 member A2	AKR7A2
Aldo-keto reductase family 7 member A3	AKR7A3
Aldolase, fructose-bisphosphate A	ALDOA
Aldolase, fructose-bisphosphate B	ALDOB
Aldolase, fructose-bisphosphate C	ALDOC
ALF transcription elongation factor 1	AFF-1; AFF1
ALF transcription elongation factor 2	AFF-2; AFF2
ALF transcription elongation factor 3	AFF-3; AFF3
ALF transcription elongation factor 4	AFF-4; AFF4
ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase	ALG-1; ALG1
ALG10 alpha-1,2-glucosyltransferase	ALG-10; ALG10
ALG10 alpha-1,2-glucosyltransferase B	ALG10B
ALG11 alpha-1,2-mannosyltransferase	ALG-11; ALG11
ALG12 alpha-1,6-mannosyltransferase	ALG-12; ALG12
ALG13 UDP-N-acetylglucosaminyltransferase subunit	ALG-13; ALG13
ALG14 UDP-N-acetylglucosaminyltransferase subunit	ALG-14; ALG14
ALG2 alpha-1,3/1,6-mannosyltransferase	ALG-2; ALG2
ALG3 alpha-1,3- mannosyltransferase	ALG-3; ALG3
ALG5 dolichyl-phosphate beta-glucosyltransferase	ALG-5; ALG5
ALG6 alpha-1,3-glucosyltransferase	ALG-6; ALG6
ALG8 alpha-1,3-glucosyltransferase	ALG-8; ALG8
ALG9 alpha-1,2-mannosyltransferase	ALG-9; ALG9
ALK and LTK ligand 1	ALKAL-1; ALKAL1
ALK and LTK ligand 2	ALKAL-2; ALKAL2
ALK receptor tyrosine kinase	ALK
Alkaline ceramidase 1	ACER-1; ACER1; Alkaline ceramidase-1
Alkaline ceramidase 2	ACER-2; ACER2; Alkaline ceramidase-2
Alkaline ceramidase 3	ACER-3; ACER3; Alkaline ceramidase-3
Alkaline phosphatase, biomineralization associated	ALPL
Alkaline phosphatase, germ cell	ALPG
Alkaline phosphatase, intestinal	ALPI
Alkaline phosphatase, placental	ALPP
AlkB homolog 1, histone H2A dioxygenase	ALKBH-1; ALKBH1
AlkB homolog 2, alpha-ketoglutarate dependent dioxygenase	ALKBH-2; ALKBH2
AlkB homolog 3, alpha-ketoglutarate dependent dioxygenase	ALKBH-3; ALKBH3
AlkB homolog 4, lysine demethylase	ALKBH-4; ALKBH4
AlkB homolog 5, RNA demethylase	ALKBH-5; ALKBH5
AlkB homolog 6	AlkB homolog-6; ALKBH-6; ALKBH6
AlkB homolog 7	AlkB homolog-7; ALKBH-7; ALKBH7
AlkB homolog 8, tRNA methyltransferase	ALKBH-8; ALKBH8
Alkylglycerol monooxygenase	AGMO
Alkylglycerone phosphate synthase	AGPS
All-trans retinoic acid induced differentiation factor	ATRAID
Allograft inflammatory factor 1	AIF-1; AIF1
Allograft inflammatory factor 1 like	AIF1L
ALMS1 centrosome and basal body associated protein	ALMS-1; ALMS1
Alpha 1,4-galactosyltransferase (P blood group)	A4GALT
Alpha 2-HS glycoprotein	AHSG
Alpha and gamma adaptin binding protein	AAGAB
Alpha fetoprotein	AFP
Alpha glucosidase	GAA
Alpha hemoglobin stabilizing protein	AHSP
Alpha kinase 1	Alpha kinase-1; ALPK-1; ALPK1
Alpha kinase 2	Alpha kinase-2; ALPK-2; ALPK2
Alpha kinase 3	Alpha kinase-3; ALPK-3; ALPK3
Alpha tocopherol transfer protein	TTPA
Alpha tocopherol transfer protein like	TTPAL
Alpha tubulin acetyltransferase 1	ATAT-1; ATAT1
Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT-1; MGAT1
Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A	MGAT4A
Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	MGAT4B
Alpha-1,4-N-acetylglucosaminyltransferase	A4GNT
Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	MGAT-2; MGAT2
Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase	MGAT-5; MGAT5
Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B	MGAT5B
Alpha-1-B glycoprotein	A1BG
Alpha-1-microglobulin/bikunin precursor	AMBP
Alpha-2-glycoprotein 1, zinc-binding	AZGP-1; AZGP1
Alpha-2-macroglobulin	A2M
Alpha-2-macroglobulin like 1	A2ML1; Alpha-2-macroglobulin like-1
Alpha-L-fucosidase 1	Alpha-L-fucosidase-1; FUCA-1; FUCA1
Alpha-L-fucosidase 2	Alpha-L-fucosidase-2; FUCA-2; FUCA2
Alpha-L-iduronidase	IDUA
Alpha-methylacyl-CoA racemase	AMACR
Alpha-N-acetylgalactosaminidase	NAGA
ALS2 C-terminal like	ALS2CL
Alsin Rho guanine nucleotide exchange factor ALS2	ALS-2; ALS2
ALX homeobox 1	ALX homeobox-1; ALX-1; ALX1
ALX homeobox 3	ALX homeobox-3; ALX-3; ALX3
ALX homeobox 4	ALX homeobox-4; ALX-4; ALX4
Ameloblastin	AMBN
Amelogenin X-linked	AMELX
Amelogenin Y-linked	AMELY
Amelotin	AMTN
Amidohydrolase domain containing 1	AMDHD-1; AMDHD1
Amidohydrolase domain containing 2	AMDHD-2; AMDHD2
Amine oxidase copper containing 1	AOC-1; AOC1
Amine oxidase copper containing 2	AOC-2; AOC2
Amine oxidase copper containing 3	AOC-3; AOC3
Aminoacyl tRNA synthetase complex interacting multifunctional protein 1	AIMP-1; AIMP1
Aminoacyl tRNA synthetase complex interacting multifunctional protein 2	AIMP-2; AIMP2
Aminoacylase 1	ACY-1; ACY1; Aminoacylase-1
Aminoacylase 3	ACY-3; ACY3; Aminoacylase-3
Aminoadipate aminotransferase	AADAT
Aminoadipate-semialdehyde dehydrogenase	AASDH
Aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	AASDHPPT
Aminoadipate-semialdehyde synthase	AASS
Aminocarboxymuconate semialdehyde decarboxylase	ACMSD
Aminolevulinate dehydratase	ALAD
Aminomethyltransferase	AMT
Aminopeptidase like 1	Aminopeptidase like-1; NPEPL-1; NPEPL1
Aminopeptidase O (putative)	AOPEP
Aminopeptidase puromycin sensitive	NPEPPS
AMMECR nuclear protein 1	AMMECR-1; AMMECR1
AMMECR1 like	AMMECR1L
Amnion associated transmembrane protein	AMN
Amphiphysin	AMPH
Amphiregulin	AREG
Amylase alpha 1A	AMY1A
Amylase alpha 1B	AMY1B
Amylase alpha 1C	AMY1C
Amylase alpha 2A	AMY2A
Amylase alpha 2B	AMY2B
Amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	AGL
Amyloid beta precursor like protein 1	APLP-1; APLP1
Amyloid beta precursor like protein 2	APLP-2; APLP2
Amyloid beta precursor protein	APP
Amyloid beta precursor protein binding family A member 1	APBA-1; APBA1
Amyloid beta precursor protein binding family A member 2	APBA-2; APBA2
Amyloid beta precursor protein binding family A member 3	APBA-3; APBA3
Amyloid beta precursor protein binding family B member 1	APBB-1; APBB1
Amyloid beta precursor protein binding family B member 1 interacting protein	APBB1IP
Amyloid beta precursor protein binding family B member 2	APBB-2; APBB2
Amyloid beta precursor protein binding family B member 3	APBB-3; APBB3
Amyloid beta precursor protein binding protein 2	APPBP-2; APPBP2
Amyloid P component, serum	APCS
Anaphase promoting complex subunit 1	ANAPC-1; ANAPC1
Anaphase promoting complex subunit 10	ANAPC-10; ANAPC10
Anaphase promoting complex subunit 11	ANAPC-11; ANAPC11
Anaphase promoting complex subunit 13	ANAPC-13; ANAPC13
Anaphase promoting complex subunit 15	ANAPC-15; ANAPC15
Anaphase promoting complex subunit 16	ANAPC-16; ANAPC16
Anaphase promoting complex subunit 2	ANAPC-2; ANAPC2
Anaphase promoting complex subunit 4	ANAPC-4; ANAPC4
Anaphase promoting complex subunit 5	ANAPC-5; ANAPC5
Anaphase promoting complex subunit 7	ANAPC-7; ANAPC7
Androgen dependent TFPI regulating protein	ADTRP
Androgen induced 1	AIG-1; AIG1; Androgen induced-1
Androgen receptor	AR
Angel homolog 1	Angel homolog-1; ANGEL-1; ANGEL1
Angel homolog 2	Angel homolog-2; ANGEL-2; ANGEL2
Angio associated migratory cell protein	AAMP
Angiogenic factor with G-patch and FHA domains 1	AGGF-1; AGGF1
Angiogenin	ANG
Angiomotin	AMOT
Angiomotin like 1	AMOTL-1; AMOTL1; Angiomotin like-1
Angiomotin like 2	AMOTL-2; AMOTL2; Angiomotin like-2
Angiopoietin 1	Angiopoietin-1; ANGPT-1; ANGPT1
Angiopoietin 2	Angiopoietin-2; ANGPT-2; ANGPT2
Angiopoietin 4	Angiopoietin-4; ANGPT-4; ANGPT4
Angiopoietin like 2	Angiopoietin like-2; ANGPTL-2; ANGPTL2
Angiopoietin like 3	Angiopoietin like-3; ANGPTL-3; ANGPTL3
Angiopoietin like 4	Angiopoietin like-4; ANGPTL-4; ANGPTL4
Angiopoietin like 5	Angiopoietin like-5; ANGPTL-5; ANGPTL5
Angiopoietin like 6	Angiopoietin like-6; ANGPTL-6; ANGPTL6
Angiopoietin like 7	Angiopoietin like-7; ANGPTL-7; ANGPTL7
Angiopoietin like 8	Angiopoietin like-8; ANGPTL-8; ANGPTL8
Angiotensin converting enzyme 2	ACE-2; ACE2
Angiotensin I converting enzyme	ACE
Angiotensin II receptor associated protein	AGTRAP
Angiotensin II receptor type 1	AGTR-1; AGTR1
Angiotensin II receptor type 2	AGTR-2; AGTR2
Angiotensinogen	AGT
Anillin, actin binding protein	ANLN
ANKH inorganic pyrophosphate transport regulator	ANKH
Ankyrin 1	ANK-1; ANK1; Ankyrin-1
Ankyrin 2	ANK-2; ANK2; Ankyrin-2
Ankyrin 3	ANK-3; ANK3; Ankyrin-3
Ankyrin repeat and BTB domain containing 1	ABTB-1; ABTB1
Ankyrin repeat and EF-hand domain containing 1	ANKEF-1; ANKEF1
Ankyrin repeat and FYVE domain containing 1	ANKFY-1; ANKFY1
Ankyrin repeat and IBR domain containing 1	ANKIB-1; ANKIB1
Ankyrin repeat and KH domain containing 1	ANKHD-1; ANKHD1
Ankyrin repeat and kinase domain containing 1	ANKK-1; ANKK1
Ankyrin repeat and LEM domain containing 1	ANKLE-1; ANKLE1
Ankyrin repeat and LEM domain containing 2	ANKLE-2; ANKLE2
Ankyrin repeat and MYND domain containing 2	ANKMY-2; ANKMY2
Ankyrin repeat and SOCS box containing 1	ASB-1; ASB1
Ankyrin repeat and SOCS box containing 10	ASB-10; ASB10
Ankyrin repeat and SOCS box containing 11	ASB-11; ASB11
Ankyrin repeat and SOCS box containing 12	ASB-12; ASB12
Ankyrin repeat and SOCS box containing 13	ASB-13; ASB13
Ankyrin repeat and SOCS box containing 15	ASB-15; ASB15
Ankyrin repeat and SOCS box containing 16	ASB-16; ASB16
Ankyrin repeat and SOCS box containing 2	ASB-2; ASB2
Ankyrin repeat and SOCS box containing 3	ASB-3; ASB3
Ankyrin repeat and SOCS box containing 4	ASB-4; ASB4
Ankyrin repeat and SOCS box containing 6	ASB-6; ASB6
Ankyrin repeat and SOCS box containing 7	ASB-7; ASB7
Ankyrin repeat and SOCS box containing 8	ASB-8; ASB8
Ankyrin repeat and SOCS box containing 9	ASB-9; ASB9
Ankyrin repeat and sterile alpha motif domain containing 1A	ANKS1A
Ankyrin repeat and sterile alpha motif domain containing 1B	ANKS1B
Ankyrin repeat and sterile alpha motif domain containing 3	ANKS-3; ANKS3
Ankyrin repeat and sterile alpha motif domain containing 4B	ANKS4B
Ankyrin repeat and sterile alpha motif domain containing 6	ANKS-6; ANKS6
Ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1	ANKZF-1; ANKZF1
Ankyrin repeat domain 1	ANKRD-1; ANKRD1
Ankyrin repeat domain 10	ANKRD-10; ANKRD10
Ankyrin repeat domain 12	ANKRD-12; ANKRD12
Ankyrin repeat domain 13A	ANKRD13A
Ankyrin repeat domain 13B	ANKRD13B
Ankyrin repeat domain 13C	ANKRD13C
Ankyrin repeat domain 13D	ANKRD13D
Ankyrin repeat domain 16	ANKRD-16; ANKRD16
Ankyrin repeat domain 17	ANKRD-17; ANKRD17
Ankyrin repeat domain 18B	ANKRD18B
Ankyrin repeat domain 2	ANKRD-2; ANKRD2
Ankyrin repeat domain 23	ANKRD-23; ANKRD23
Ankyrin repeat domain 27	ANKRD-27; ANKRD27
Ankyrin repeat domain 28	ANKRD-28; ANKRD28
Ankyrin repeat domain 29	ANKRD-29; ANKRD29
Ankyrin repeat domain 30A	ANKRD30A
Ankyrin repeat domain 33	ANKRD-33; ANKRD33
Ankyrin repeat domain 34A	ANKRD34A
Ankyrin repeat domain 36B	ANKRD36B
Ankyrin repeat domain 36C	ANKRD36C
Ankyrin repeat domain 37	ANKRD-37; ANKRD37
Ankyrin repeat domain 39	ANKRD-39; ANKRD39
Ankyrin repeat domain 40	ANKRD-40; ANKRD40
Ankyrin repeat domain 44	ANKRD-44; ANKRD44
Ankyrin repeat domain 45	ANKRD-45; ANKRD45
Ankyrin repeat domain 46	ANKRD-46; ANKRD46
Ankyrin repeat domain 49	ANKRD-49; ANKRD49
Ankyrin repeat domain 52	ANKRD-52; ANKRD52
Ankyrin repeat domain 53	ANKRD-53; ANKRD53
Ankyrin repeat domain 54	ANKRD-54; ANKRD54
Ankyrin repeat domain 55	ANKRD-55; ANKRD55
Ankyrin repeat domain 9	ANKRD-9; ANKRD9
Ankyrin repeat domain containing 11	ANKRD-11; ANKRD11
Ankyrin repeat domain containing 26	ANKRD-26; ANKRD26
Ankyrin repeat domain containing 50	ANKRD-50; ANKRD50
Ankyrin repeat family A member 2	ANKRA-2; ANKRA2
Ankyrin repeat, SAM and basic leucine zipper domain containing 1	ASZ-1; ASZ1
Annexin A1	ANXA-1; ANXA1
Annexin A10	ANXA-10; ANXA10
Annexin A11	ANXA-11; ANXA11
Annexin A13	ANXA-13; ANXA13
Annexin A2	ANXA-2; ANXA2
Annexin A2 receptor	ANXA2R
Annexin A3	ANXA-3; ANXA3
Annexin A4	ANXA-4; ANXA4
Annexin A5	ANXA-5; ANXA5
Annexin A6	ANXA-6; ANXA6
Annexin A7	ANXA-7; ANXA7
Annexin A8	ANXA-8; ANXA8
Annexin A9	ANXA-9; ANXA9
Anoctamin 1	ANO-1; ANO1; Anoctamin-1
Anoctamin 10	ANO-10; ANO10; Anoctamin-10
Anoctamin 2	ANO-2; ANO2; Anoctamin-2
Anoctamin 3	ANO-3; ANO3; Anoctamin-3
Anoctamin 5	ANO-5; ANO5; Anoctamin-5
Anoctamin 6	ANO-6; ANO6; Anoctamin-6
Anoctamin 7	ANO-7; ANO7; Anoctamin-7
Anoctamin 8	ANO-8; ANO8; Anoctamin-8
Anoctamin 9	ANO-9; ANO9; Anoctamin-9
Anosmin 1	ANOS-1; ANOS1; Anosmin-1
Anterior gradient 2, protein disulphide isomerase family member	AGR-2; AGR2
Anterior gradient 3, protein disulphide isomerase family member	AGR-3; AGR3
Anti-Mullerian hormone	AMH
Anti-Mullerian hormone receptor type 2	AMHR-2; AMHR2
Anti-silencing function 1A histone chaperone	ASF1A
Anti-silencing function 1B histone chaperone	ASF1B
Antioxidant 1 copper chaperone	ATOX-1; ATOX1
Antizyme inhibitor 1	Antizyme inhibitor-1; AZIN-1; AZIN1
Antizyme inhibitor 2	Antizyme inhibitor-2; AZIN-2; AZIN2
ANTXR cell adhesion molecule 1	ANTXR-1; ANTXR1
ANTXR cell adhesion molecule 2	ANTXR-2; ANTXR2
AP2 associated kinase 1	AAK-1; AAK1
APAF1 interacting protein	APIP
APC down-regulated 1	APC down-regulated-1; APCDD-1; APCDD1
APC down-regulated 1 like	APCDD1L
APC membrane recruitment protein 1	AMER-1; AMER1
APC membrane recruitment protein 2	AMER-2; AMER2
APC membrane recruitment protein 3	AMER-3; AMER3
APC regulator of WNT signaling pathway	APC
APC regulator of WNT signaling pathway 2	APC-2; APC2
Apelin receptor	APLNR
Apelin receptor early endogenous ligand	APELA
Aph-1 homolog A, gamma-secretase subunit	APH1A
Aph-1 homolog B, gamma-secretase subunit	APH1B
APOBEC1 complementation factor	A1CF
Apolipoprotein A1	APOA-1; APOA1
Apolipoprotein A2	APOA-2; APOA2
Apolipoprotein A4	APOA-4; APOA4
Apolipoprotein A5	APOA-5; APOA5
Apolipoprotein B	APOB
Apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	APOBEC-4; APOBEC4
Apolipoprotein B mRNA editing enzyme catalytic subunit 1	APOBEC-1; APOBEC1
Apolipoprotein B mRNA editing enzyme catalytic subunit 2	APOBEC-2; APOBEC2
Apolipoprotein B mRNA editing enzyme catalytic subunit 3A	APOBEC3A
Apolipoprotein B mRNA editing enzyme catalytic subunit 3B	APOBEC3B
Apolipoprotein B mRNA editing enzyme catalytic subunit 3C	APOBEC3C
Apolipoprotein B mRNA editing enzyme catalytic subunit 3D	APOBEC3D
Apolipoprotein B mRNA editing enzyme catalytic subunit 3F	APOBEC3F
Apolipoprotein B mRNA editing enzyme catalytic subunit 3G	APOBEC3G
Apolipoprotein B mRNA editing enzyme catalytic subunit 3H	APOBEC3H
Apolipoprotein B receptor	APOBR
Apolipoprotein C1	APOC-1; APOC1
Apolipoprotein C2	APOC-2; APOC2
Apolipoprotein C3	APOC-3; APOC3
Apolipoprotein C4	APOC-4; APOC4
Apolipoprotein D	APOD
Apolipoprotein E	APOE
Apolipoprotein F	APOF
Apolipoprotein H	APOH
Apolipoprotein L1	APOL-1; APOL1
Apolipoprotein L2	APOL-2; APOL2
Apolipoprotein L3	APOL-3; APOL3
Apolipoprotein L6	APOL-6; APOL6
Apolipoprotein M	APOM
Apolipoprotein O	APOO
Apolipoprotein O like	APOOL
Apoptosis and caspase activation inhibitor	AVEN
Apoptosis antagonizing transcription factor	AATF
Apoptosis associated tyrosine kinase	AATK
Apoptosis enhancing nuclease	AEN
Apoptosis inducing factor mitochondria associated 1	AIFM-1; AIFM1
Apoptosis inducing factor mitochondria associated 2	AIFM-2; AIFM2
Apoptosis inducing factor mitochondria associated 3	AIFM-3; AIFM3
Apoptosis inhibitor 5	API-5; API5; Apoptosis inhibitor-5
Apoptosis resistant E3 ubiquitin protein ligase 1	AREL-1; AREL1
Apoptotic chromatin condensation inducer 1	ACIN-1; ACIN1
Apoptotic peptidase activating factor 1	APAF-1; APAF1
Aprataxin	APTX
Aprataxin and PNKP like factor	APLF
Apurinic/apyrimidinic endodeoxyribonuclease 1	APEX-1; APEX1; Apurinic/apyrimidinic endodeoxyribonuclease-1
Apurinic/apyrimidinic endodeoxyribonuclease 2	APEX-2; APEX2; Apurinic/apyrimidinic endodeoxyribonuclease-2
